,word,occurrences,percentile,pinyin,definition,back
1811,分,4550,0.9948557935570923,fēn,part<br/>share<br/>ingredient<br/>component,<b>fēn</b><br/>part<br/>share<br/>ingredient<br/>component
1951,傻,4549,0.994845252150447,shǎ,foolish,<b>shǎ</b><br/>foolish
2394,喊,4525,0.9948347107438017,hǎn,to yell<br/>to shout<br/>to call out for (a person),<b>hǎn</b><br/>to yell<br/>to shout<br/>to call out for (a person)
581,郁闷,4522,0.9948241693371563,yùmèn,gloomy<br/>depressed,<b>yùmèn</b><br/>gloomy<br/>depressed
2289,牛,4521,0.9948136279305111,níu,"ox<br/>cow<br/>bull<br/>CL:條|条[tiao2],頭|头[tou2]<br/>(slang) awesome","<b>níu</b><br/>ox<br/>cow<br/>bull<br/>CL:條|条[tiao2],頭|头[tou2]<br/>(slang) awesome"
284,爹,4518,0.9948030865238657,diē,dad,<b>diē</b><br/>dad
125,恶心,4517,0.9947925451172205,èxīn,bad habit<br/>vicious habit<br/>vice,<b>èxīn</b><br/>bad habit<br/>vicious habit<br/>vice
233,些,4511,0.9947820037105751,xiē,some<br/>few<br/>several<br/>measure word indicating a small amount or small number (greater than 1),<b>xiē</b><br/>some<br/>few<br/>several<br/>measure word indicating a small amount or small number (greater than 1)
2982,唱,4510,0.9947714623039299,chàng,to sing<br/>to call loudly<br/>to chant,<b>chàng</b><br/>to sing<br/>to call loudly<br/>to chant
758,结婚,4503,0.9947609208972845,jiéhūn,to marry<br/>to get married<br/>CL:次[ci4],<b>jiéhūn</b><br/>to marry<br/>to get married<br/>CL:次[ci4]
2001,丫,4478,0.9947503794906393,yā,fork<br/>branch<br/>bifurcation<br/>girl,<b>yā</b><br/>fork<br/>branch<br/>bifurcation<br/>girl
2921,管,4474,0.9947398380839939,guǎn,to take care (of)<br/>to control<br/>to manage<br/>to be in charge of<br/>to look after<br/>to run<br/>to care about<br/>tube<br/>pipe<br/>woodwind<br/>classifier for tube-shaped objects<br/>particle similar to 把[ba3] in 管...叫 constructions<br/>writing brush<br/>(coll.) to<br/>towards,<b>guǎn</b><br/>to take care (of)<br/>to control<br/>to manage<br/>to be in charge of<br/>to look after<br/>to run<br/>to care about<br/>tube<br/>pipe<br/>woodwind<br/>classifier for tube-shaped objects<br/>particle similar to 把[ba3] in 管...叫 constructions<br/>writing brush<br/>(coll.) to<br/>towards
3429,有的,4473,0.9947292966773487,yǒude,(there are) some (who are...)<br/>some (exist),<b>yǒude</b><br/>(there are) some (who are...)<br/>some (exist)
1213,你家,4469,0.9947187552707033,nǐjiā,,<b>nǐjiā</b><br/>
353,贵,4451,0.994708213864058,gùi,expensive<br/>noble<br/>precious<br/>(honorific) your,<b>gùi</b><br/>expensive<br/>noble<br/>precious<br/>(honorific) your
1192,猪,4443,0.9946976724574127,zhū,"hog<br/>pig<br/>swine<br/>CL:口[kou3],頭|头[tou2]","<b>zhū</b><br/>hog<br/>pig<br/>swine<br/>CL:口[kou3],頭|头[tou2]"
